post_title,seo_page_title,categoryParent,author_name,post_date,imageDesktop650,imageMobile320,categoryChild,post_url
Komentar HomeBois Pabz yang Mengaku Siap Resign Setelah Gugur di MSC 2024,Komentar HomeBois Pabz yang Mengaku Siap Resign,Esports,Mecca Medina,2024-07-12 07:38:13,2024/07/Komentar-HomeBois-Pabz-resign-featured-640x360.jpg,2024/07/Komentar-HomeBois-Pabz-resign-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/komentar-homebois-pabz-resign
"BREAKING: Kalah di Knockout MSC 2024, Pabz Siap Mengundurkan Diri Dari HomeBois?","Kalah di MSC 2024, Pabz Siap Mengundurkan Diri Dari HomeBois?",Esports,Mecca Medina,2024-07-11 22:35:55,2024/07/pabz-homebois-mengundurkan-diri-featured-640x360.jpg,2024/07/pabz-homebois-mengundurkan-diri-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/pabz-homebois-mengundurkan-diri
Taipei Game Show 2025 Mulai Buka Registrasi Ekshibitor,Taipei Game Show 2025 Mulai Buka Registrasi Ekshibitor,Geek,AI.da Lovelace,2024-07-11 22:30:46,2024/07/Taipei-Game-Show-2025-featured-640x360.jpg,2024/07/Taipei-Game-Show-2025-featured-320x180.jpg,Game,geek/game/registrasi-taipei-game-show-2025
Apa Saja Anime Summer 2024 yang Tayang di Crunchyroll?,Anime Summer 2024 Crunchyroll Ada Apa Saja? - GGWP.ID,Geek,Taufiq Radityadji,2024-07-11 21:45:57,2024/07/Anime-Summer-2024-Crunchyroll-featured-640x360.jpg,2024/07/Anime-Summer-2024-Crunchyroll-featured-320x180.jpg,Anime Manga,geek/anime-manga/anime-summer-2024-crunchyroll
Nobar EURO 2024 Bareng EA Sports FC Mobile Berlangsung Pecah!,Nobar EURO 2024 Bareng EA Sports FC Mobile Berlangsung Pecah!,Geek,Mecca Medina,2024-07-11 21:00:27,2024/07/Nobar-EURO-2024-fc-mobile-featured-640x360.jpg,2024/07/Nobar-EURO-2024-fc-mobile-featured-320x180.jpg,Game,geek/game/nobar-euro-2024-fc-mobile
"Review Doraemon The Movie: Nobita’s Earth Symphony, Menghibur Abis!","Review Doraemon The Movie: Nobita’s Earth Symphony, Menghibur Abis!",Geek,Yaya,2024-07-11 20:15:42,2024/07/review-doraemon-the-movie-nobitas-earth-symphony-feature-640x360.jpg,2024/07/review-doraemon-the-movie-nobitas-earth-symphony-feature-320x180.jpg,Film,geek/film/review-doraemon-the-movie-nobitas-earth-symphony-menghibur-abis
ASUS ROG NUC Kecilkan Gaming PC Sampai Seukuran Konsol,ASUS ROG NUC Kecilkan Gaming PC Sampai Seukuran Konsol,Tekno,Mecca Medina,2024-07-11 19:30:31,2024/07/asus-rog-nuc-featured-640x360.jpg,2024/07/asus-rog-nuc-featured-320x180.jpg,Gadget,tekno/gadget/asus-rog-nuc
Pesta Dara (Virgin Bash) Dapat Penghargaan Mocha Chai Awards di BIFAN 2024,Pesta Dara Dapat Penghargaan Mocha Chai Awards di BIFAN 2024,Geek,Mecca Medina,2024-07-11 18:45:28,2024/07/Pesta-Dara-bifan-2024-featured-640x360.jpg,2024/07/Pesta-Dara-bifan-2024-featured-320x180.jpg,Film,geek/film/pesta-dara-bifan-2024
150+ Link Download Livery BUSSID Yudhistira HD Terbaik,"150+ Link Download Livery BUSSID Yudhistira HD Terbaik, Dijamin Keren!",Geek,Retna Kumalasari,2024-07-11 18:00:51,2024/07/Livery-BUSSID-Yudistira-HD-featured-640x360.jpg,2024/07/Livery-BUSSID-Yudistira-HD-featured-320x180.jpg,Game,geek/game/livery-bussid-yudhistira-hd-terbaik
"Resmi! Kolaborasi Free Fire x Naruto Shippuden Bakal Segera Hadir, Kapan?","Resmi! Kolaborasi Free Fire x Naruto Shippuden Bakal Segera Hadir, Kapan?",Esports,Yaya,2024-07-11 17:40:37,2024/07/free-fire-x-naruto-shippuden-feature-640x360.jpg,2024/07/free-fire-x-naruto-shippuden-feature-320x180.jpg,Free Fire,esports/free-fire/free-fire-x-naruto-shippuden
"Cara Dapatkan Tiket Grand Finals FFWS ID Fall 2024 di Bandung, Gratis!","Cara Dapatkan Tiket Grand Finals FFWS ID Fall 2024 di Bandung, Gratis!",Esports,Yaya,2024-07-11 17:15:09,2024/07/tiket-grand-finals-ffws-id-fall-2024-feature-640x360.jpg,2024/07/tiket-grand-finals-ffws-id-fall-2024-feature-320x180.jpg,Free Fire,esports/free-fire/tiket-grand-finals-ffws-id-fall-2024-bandung
"EKSKLUSIF: Sekys Tertarik Gabung RRQ, Pak AP Kasih Kode?","Sekys Tertarik Gabung RRQ, Pak AP Kasih Kode?",Esports,Mecca Medina,2024-07-11 16:30:41,2024/07/Sekys-Tertarik-Gabung-RRQ-featured-640x360.jpg,2024/07/Sekys-Tertarik-Gabung-RRQ-featured-320x180.jpg,Mobile Legends,esports/mobile-legends/sekys-tertarik-gabung-rrq
EKSKLUSIF: RRQ Ewok Bicara Soap Persiapan Playoff VCT Pacific 2024 Stage 2,RRQ Ewok Bicara Soap Persiapan Playoff VCT Pacific 2024 Stage 2,Esports,Mecca Medina,2024-07-11 15:45:29,2024/07/rrq-ewok-playoff-vct-pacific-2024-FEATURED-640x360.jpg,2024/07/rrq-ewok-playoff-vct-pacific-2024-FEATURED-320x180.jpg,Valorant,esports/valorant/rrq-ewok-playoff-vct-pacific-2024
Asyiknya Premiere Screening Doraemon The Movie: Nobita's Earth Symphony,Asyiknya Premiere Screening Doraemon The Movie: Nobita's Earth Symphony,Geek,Yaya,2024-07-11 15:20:13,2024/07/doraemon-the-movie-nobitas-earth-symphony-feature-640x360.jpg,2024/07/doraemon-the-movie-nobitas-earth-symphony-feature-320x180.jpg,Film,geek/film/premiere-screening-doraemon-the-movie-nobitas-earth-symphony
Build Anton dan Tim Terbaiknya di Zenless Zone Zero,Build Anton dan Tim Terbaiknya di Zenless Zone Zero,Geek,Arini Rizki Fauziah,2024-07-11 15:00:51,2024/07/build-anton-zenless-zone-zero-640x360.jpg,2024/07/build-anton-zenless-zone-zero-320x180.jpg,Game,geek/game/build-anton-zenless-zone-zero
Daftar tim Free Fire Esports World Cup 2024 dan Roster Lengkapnya,Daftar tim Free Fire Esports World Cup 2024 dan Roster Lengkapnya!,Esports,Retna Kumalasari,2024-07-11 14:15:56,2024/07/Daftar-tim-Free-Fire-featured-640x360.jpg,2024/07/Daftar-tim-Free-Fire-featured-320x180.jpg,Free Fire,esports/free-fire/daftar-tim-free-fire-esports-world-cup-2024
Timnas Indonesia Lolos ke Main Event IESF WEC 2024 Riyadh PUBG Mobile,Timnas Indonesia Lolos ke Main Event IESF WEC 2024 Riyadh PUBG Mobile,Esports,Yaya,2024-07-11 14:00:55,2024/07/timnas-indonesia-feature-640x360.jpg,2024/07/timnas-indonesia-feature-320x180.jpg,PUBG Mobile,esports/pubg-mobile/timnas-indonesia-lolos-iesf-2024-pubg-mobile
Zenless Zone Zero Rencananya Bakal Tersedia di Nintendo Switch 2?,Zenless Zone Zero Rencananya Bakal Tersedia di Nintendo Switch 2?,Geek,Sandi,2024-07-11 13:30:04,2024/07/zenless-zone-zero-4-640x360.jpg,2024/07/zenless-zone-zero-4-320x180.jpg,Game,geek/game/zenless-zone-zero-rencananya-bakal-tersedia-di-nintendo-switch-2
